title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,scraped_at
Dijual Rumah Dalam Komplek Lokasi 5 Menit Pintu Ciledug Bebas Banjir Lokasi Petukangan Selatan,1800000000.0,Jakarta Selatan,Pesanggrahan,3,2,2,120,80,2026-04-28T01:42:18.582626+00:00
For Sale Rumah Mewah 4 Lantai Kondisi Baru di Jaksel Super Strategis,6900000000.0,Jakarta Selatan,Tebet,4,4,4,76,375,2026-04-28T01:42:20.455878+00:00
Rumah Baru Minimalis 3 Lantai Di Puri Indah Jalan Lebar Lokasi Tenang,10000000000.0,Jakarta Barat,Puri Indah,4,4,2,225,500,2026-04-28T01:42:23.202102+00:00
Rumah 2 Lantai di Tanjung Duren Utara Cocok untuk Kost-An,8500000000.0,Jakarta Barat,Tanjung Duren Utara,3,5,9,350,500,2026-04-28T01:42:25.528413+00:00
Murah!!! Jual Cepat Rumah Minimalis di Kelapa Gading,1550000000.0,Jakarta Utara,Kelapa Gading,3,2,,60,60,2026-04-28T01:42:28.720811+00:00
Murah!! Dijual Rumah Baru Hybrida Kelapa Gading,2900000000.0,Jakarta Utara,Kelapa Gading,4,4,,102,102,2026-04-28T01:42:31.564733+00:00
New Condition Rumah Modern 2 Lantai Bagus Nyaman di Dalam Cluster,3400000000.0,Jakarta Timur,Pondok Kelapa,3,2,4,105,108,2026-04-28T01:42:33.124668+00:00
Rumah 2 Lantai dengan 5 Kamar di Kota Wisata Cibubur Kondisi Baru,2700000000.0,Jakarta Timur,Cibubur,5,4,4,98,122,2026-04-28T01:42:34.792733+00:00
Dijual Rumah Menteng Luxury Lokasi Strategis di Jakarta Pusat,98000000000.0,Jakarta Pusat,Menteng,7,5,6,879,1000,2026-04-28T01:42:37.629400+00:00
"Turun Harga Rumah 2 lantai Siap Huni Luas 400 meter dekat pusat kuliner di kawasan hunian nyaman di Cempaka Putih, Jakarta Pusat",8500000000.0,Jakarta Pusat,Cempaka Putih,5,3,2,400,460,2026-04-28T01:42:39.865449+00:00
Dijual Rumah 2 Lantai New Condition Jarang Ada Lokasi Strategis di Dalam Cluster,2000000000.0,Jakarta Selatan,Pasar Minggu,3,2,2,60,85,2026-04-28T01:49:42.347074+00:00
Dijual Rumah Dalam Komplek Lokasi 5 Menit Pintu Ciledug Bebas Banjir Lokasi Petukangan Selatan,1800000000.0,Jakarta Selatan,Pesanggrahan,3,2,2,120,80,2026-04-28T01:49:44.233980+00:00
For Sale Rumah Mewah 4 Lantai Kondisi Baru di Jaksel Super Strategis,6900000000.0,Jakarta Selatan,Tebet,4,4,4,76,375,2026-04-28T01:49:47.132771+00:00
"Harga NJOP, Rumah 2 Lantai, Full Furnished, 5 Kamar di Pondok Indah, Cocok U Hunian Keluarga",10000000000.0,Jakarta Selatan,Pondok Indah,6,5,2,216,350,2026-04-28T01:49:49.315452+00:00
"Strategis, Pggr Jln Raya, Murah Bwh Njop",23000000000.0,Jakarta Selatan,Kemang,12,5,9,1050,800,2026-04-28T01:49:51.604066+00:00
Rumah Moh Kahfi 103M2 Hanya 1.2 M,1200000000.0,Jakarta Selatan,Jagakarsa,2,1,2,106,65,2026-04-28T01:49:53.669946+00:00
Rumah Siap Huni Kebayoran Baru Dekat Scbd,22500000000.0,Jakarta Selatan,Kebayoran Baru,5,4,3,366,500,2026-04-28T01:49:55.920335+00:00
Rumah Siap Huni Pondok Indah Area Tenang Jalan Lebar,6800000000.0,Jakarta Selatan,Pondok Indah,5,4,2,154,200,2026-04-28T01:49:57.830185+00:00
Rumah Tua Hitung Tanah Dalam Komplek Cilandak,11300000000.0,Jakarta Selatan,Cilandak,6,4,2,535,600,2026-04-28T01:50:00.301267+00:00
Rumah Baru 3 Lantai Smart Home Dekat Senayan,2100000000.0,Jakarta Selatan,Kebayoran Lama,4,5,1,63,158,2026-04-28T01:50:02.841148+00:00
Rumah Cantik Harga Menarik Dalam Komplek,2400000000.0,Jakarta Selatan,Kebayoran Lama,5,4,1,63,159,2026-04-28T01:50:04.509324+00:00
Rumah Bagus Siap Huni Dlm Komplek Bona Lebak Bulus Harga Menarik,7800000000.0,Jakarta Selatan,Lebak Bulus,7,5,3,300,400,2026-04-28T01:50:06.233552+00:00
Rumah Brandnew Siap Huni Dalam Komplek Radio Dalam Jaksel,10000000000.0,Jakarta Selatan,Radio Dalam,4,4,3,307,360,2026-04-28T01:50:08.491441+00:00
For Sale Rumah Mewah 4 Lantai Kondisi Baru di Pusat Jakarta Selatan Dekat SCBD Senopati,6900000000.0,Jakarta Selatan,Kemang,4,4,4,76,375,2026-04-28T01:50:11.250317+00:00
Rumah Bsgus Siap Huni Jalan 1 Mobil Lebar Dekat Taman Lingkungan Aman Nyaman dan Tenang,3500000000.0,Jakarta Selatan,Tebet,5,4,2,138,250,2026-04-28T01:50:13.762150+00:00
"Dijual Rumah Baru di Cluster Jakarta Jarang Ada! 2 Lantai, 4 Kamar Tidur",2000000000.0,Jakarta Selatan,Jagakarsa,3,2,2,60,85,2026-04-28T01:50:17.774991+00:00
Brand New House American Style In Town House Cipete Jakarta Selatan,12000000000.0,Jakarta Selatan,Cipete,5,7,5,353,850,2026-04-28T01:50:20.695174+00:00
Rumah Paling Murah Lokasi Bagus di Area Kemang Jakarta Selatan,31500000000.0,Jakarta Selatan,Kemang,4,3,5,2620,400,2026-04-28T01:50:22.349607+00:00
"Luxurious Brand New House Full Furnished Desain American Classic di Kemang, Jakarta Selatan",38000000000.0,Jakarta Selatan,Kemang,6,6,10,517,760,2026-04-28T01:50:24.966269+00:00
Rumah Semifurnished Dibawah Pasaran Dekat Mall.stasiun Pasar.minggu,4500000000.0,Jakarta Selatan,Pejaten,5,5,3,180,250,2026-04-28T01:50:28.803597+00:00
Rumah Baru Mewah Clasic Modern Private Lift di Kebayoran Baru Jakarta Selatan,39000000000.0,Jakarta Selatan,Kebayoran Baru,4,4,6,403,850,2026-04-28T01:50:33.702807+00:00
Rumah Bagus Halaman Luas Buat Pengusaha Harga NJOP di Kemang Jakarta Selatan,48000000000.0,Jakarta Selatan,Kemang,9,6,22,2360,1000,2026-04-28T01:50:35.391242+00:00
"Brand New House Modern Minimalis Lingkungan Nyaman di Cilandak, Jakarta Selatan",12800000000.0,Jakarta Selatan,Cilandak,4,4,6,515,400,2026-04-28T01:50:37.062801+00:00
Dijual Rumah Akses 2 Mobil,4200000000.0,Jakarta Selatan,Tebet,5,3,2,133,200,2026-04-28T01:50:38.819102+00:00
Dijual Rumah Siap Huni Dekat Senopati Kebayoran Baru Jakarta Selatan,48000000000.0,Jakarta Selatan,Kebayoran Baru,4,4,6,370,810,2026-04-28T01:50:41.137837+00:00
Rumah Apik & Murah 2 Lantai di Tebet Utara. Dkt ke Jl Abdullah Syafei,2800000000.0,Jakarta Selatan,Tebet,5,5,2,182,250,2026-04-28T01:50:43.448565+00:00
Dijual Rumah Modern 3 Kamar Tidur di Dalam Cluster Keamanan 24 Jam,2000000000.0,Jakarta Selatan,Cilandak,3,2,2,60,85,2026-04-28T01:50:52.053729+00:00
"Dijual Rumah Mewah di Cilandak Sebrang Citos, Bebas Banjir, Siap Huni",21000000000.0,Jakarta Selatan,Cilandak,5,5,5,982,650,2026-04-28T01:50:54.647441+00:00
"Turun Harga, Dijual 2 Rumah 1 Lahan Area Melawai, Akses 2 Arah",17000000000.0,Jakarta Selatan,Kebayoran Baru,6,4,,408,300,2026-04-28T01:51:02.927714+00:00
"Dijual Cepat Rumah Baru Minimalis 3 Lantai Ada Rooftop, Dekat Tol Andara,Rumah Baru Bangun Dalam Cluster Hanya 7 Unit",2350000000.0,Jakarta Selatan,Jagakarsa,5,4,,78,200,2026-04-28T01:51:05.578627+00:00
For Sale Rumah Mewah Kondisi Baru di Kebayoran Baru Jaksel Jarang Ada,6900000000.0,Jakarta Selatan,Kebayoran Baru,4,4,4,76,375,2026-04-28T01:51:08.384250+00:00
Rumah American Classic Luxury Home di Kawasan Elit Jagakarsa,4900000000.0,Jakarta Selatan,Jagakarsa,5,8,3,127,360,2026-04-28T01:51:10.309245+00:00
Rumah Cisanggiri Kebayoran Baru,20500000000.0,Jakarta Selatan,Kebayoran Baru,4,3,4,400,500,2026-04-28T01:51:14.295654+00:00
Rumah Mewah Pondok Indah,7300000000.0,Jakarta Selatan,Pondok Indah,4,4,,120,200,2026-04-28T01:51:16.933828+00:00
"""Jual Cepat Harga Bersahabat"" untuk Rumah Lux ~ Sektor Favorit di ""Pondok Indah""",32000000000.0,Jakarta Selatan,Pondok Indah,5,6,8,634,720,2026-04-28T01:51:20.578050+00:00
"Rumak Klasik Nyaman "" Harga Menarik di Pondok Indah """,9600000000.0,Jakarta Selatan,Pondok Indah,7,5,3,257,350,2026-04-28T01:51:25.160724+00:00
"Rumah ""Klasik Timeless"" di Lokasi Prime Pondok Indah. ""Harga Bersahabat""",48000000000.0,Jakarta Selatan,Pondok Indah,8,8,10,1229,852,2026-04-28T01:51:28.239957+00:00
Rumah Mewah Siap Huni Dalam Komplek Nyaman Asri,1690000000.0,Jakarta Selatan,Jagakarsa,5,4,2,82,160,2026-04-28T01:51:29.814152+00:00
Cluster Minimalis Hadir di Kuningan Jakarta Selatan,850000000.0,Jakarta Selatan,Kuningan,2,2,2,24,44,2026-04-28T01:51:32.683377+00:00
Dijual Rumah Exclusive di Kawasan Elit Kemang Jaksel,11800000000.0,Jakarta Selatan,Kemang,3,3,6,696,325,2026-04-28T01:51:35.054802+00:00
Rumah Harga Menarik di Kuningan Area - Jakarta Selatan,15500000000.0,Jakarta Selatan,Kuningan,8,5,4,391,407,2026-04-28T01:51:41.818939+00:00
"""For Sale Hunian Minimalis Area Tenang dengan Harga Menarik di Pondok Indah",16000000000.0,Jakarta Selatan,Pondok Indah,5,5,3,394,400,2026-04-28T01:51:44.460971+00:00
Rumah Tropis Modern Privet Pool Dalam Townhouse di Kemang Jakarta Selatan SHM Akses Jalan Besar,19500000000.0,Jakarta Selatan,Kemang,4,3,4,439,405,2026-04-28T01:51:47.332269+00:00
"Hunian Super Strategis di Kawasan Cipete, Jakarta Selatan",20000000000.0,Jakarta Selatan,Cipete,3,3,4,921,614,2026-04-28T01:51:50.156656+00:00
Turun Harga Rumah Mewah Harga Paling Murah Area Kemang Jakarta Selatan,18500000000.0,Jakarta Selatan,Kemang,7,5,6,1035,700,2026-04-28T01:51:52.332418+00:00
Rumah Bagus 2 Lantai Jalan Besar Dekat Blok M di Kebayoran Baru Jakarta Selatan,32000000000.0,Jakarta Selatan,Kebayoran Baru,8,5,7,703,500,2026-04-28T01:51:54.908428+00:00
Rumah Hitung Tanah 65% di Bawah NJOP di Ampera Kemang Jakarta Selatan,55000000000.0,Jakarta Selatan,Kemang,2,2,21,5555,1000,2026-04-28T01:51:57.055347+00:00
Rumah Murah Hanya 2 M di Jakarta Jarang Ada Kondisi Baru Desain Modern,2000000000.0,Jakarta Selatan,Pasar Minggu,3,2,2,60,85,2026-04-28T01:51:58.690897+00:00
Rumah Cluster 899M Turun Harga,16000000000.0,Jakarta Selatan,Kebayoran Baru,4,4,10,899,467,2026-04-28T01:52:04.763523+00:00
