title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,status,loc_id,agent_id
Rumah.baru 6X20 Metland Puri. Metland Puri. Jakarta Barat,3200000000.0,jakarta barat,cengkareng,5.0,4.0,2.0,120.0,180.0,AVAILABLE,loc-401,agent-034
Harga Dekat NJOP Nego Sampai Deal Rumah 2 Lantai di Siaga Raya,15400000000.0,jakarta selatan,pasar minggu,7.0,5.0,8.0,893.0,500.0,AVAILABLE,loc-107,agent-020
Dijual Rumah Rumah Desain Colonialism Classic di Kawasan Elit Jaksel,50000000000.0,jakarta pusat,menteng,6.0,5.0,0.0,894.0,702.0,AVAILABLE,loc-305,agent-031
Rumah Mewah Dua Lantai Siap Huni di Kawasan Elit Tanjung Barat Jakarta Selatan Sebelah Aeon Mall,23000000000.0,jakarta selatan,jagakarsa,9.0,7.0,8.0,700.0,972.0,AVAILABLE,loc-102,agent-026
Frans Cen-Rumah Dijual di Green Garden - Hitung Tanah.jarang Ada.wow LT : 340M2 (17X20),5440000000.0,jakarta barat,kebon jeruk,3.0,3.0,2.0,340.0,220.0,AVAILABLE,loc-404,agent-044
Sunter Indah,2250000000.0,jakarta utara,tanjung priok,3.0,2.0,2.0,96.0,100.0,AVAILABLE,loc-506,agent-039
Rumah Bagus 2 Lantai Di Jl. Raya Cengkareng Jkt Barat,4500000000.0,jakarta barat,cengkareng,12.0,4.0,1.0,168.0,294.0,AVAILABLE,loc-401,agent-023
"Perumahan Elite Kemayoran. di Jl. Rajawali Selatan Iv, Gunung Sahari Utara, Sawah Besar, Kota Jakarta Pusat, Dki Jakarta, Indonesia, 10720, Kemayoran",9900000000.0,jakarta pusat,kemayoran,7.0,6.0,4.0,426.0,350.0,AVAILABLE,loc-304,agent-021
Rumah Siap Huni Dekat Taman Bebas Banjir,6800000000.0,jakarta selatan,kebayoran lama,5.0,4.0,2.0,153.0,200.0,SOLD,loc-104,agent-034
Dijual Rumah Puri Gardena Kalideres Cengkareng Dekat Bandara Tol Lokasi Strategis Bebas Banjir Siap Huni,1450000000.0,jakarta barat,kalideres,2.0,2.0,1.0,89.0,85.0,AVAILABLE,loc-403,agent-023
"Hot Sale! Rumah Siap Huni Dalam Komplek Di Cempaka Putih, Jakpus*",3800000000.0,jakarta pusat,cempaka putih,4.0,2.0,0.0,217.0,400.0,AVAILABLE,loc-301,agent-014
Rumah Brand New dengan Pool di Gedung Pinang Pondok Indah,15900000000.0,jakarta selatan,kebayoran lama,7.0,6.0,2.0,240.0,400.0,AVAILABLE,loc-104,agent-009
"Dijual Rumah Bagus di Menteng, Jakarta Pusat",6500000000.0,jakarta pusat,menteng,4.0,4.0,0.0,150.0,190.0,AVAILABLE,loc-305,agent-033
Rumah Baru Murah Utan Kayu Matraman Jakarta Timur,1800000000.0,jakarta timur,matraman,4.0,4.0,1.0,67.0,201.0,AVAILABLE,loc-208,agent-035
"Dijual Rumah Kompleks Green Mansion, Jakarta Barat Siap Huni, Rapi dan Semi Furnish",6000000000.0,jakarta barat,cengkareng,5.0,4.0,1.0,120.0,240.0,SOLD,loc-401,agent-015
Rumah4 Lantai Private Pool di Jagakarsa Jakarta Selatan Cluster,3850000000.0,jakarta selatan,jagakarsa,6.0,5.0,4.0,102.0,300.0,AVAILABLE,loc-102,agent-001
"The Luxury Simprug Palace House Near Senayan, Jakarta Selatan",75000000000.0,jakarta selatan,kebayoran lama,11.0,8.0,10.0,1832.0,1000.0,SOLD,loc-104,agent-028
"Dijual Rmh Hoek Gading Griya Lestari, Kelapa Gading",4500000000.0,jakarta timur,cakung,6.0,5.0,4.0,255.0,400.0,AVAILABLE,loc-201,agent-030
Dijual Rumah di Karang Asem - Kuningan. Luas 1273M Hanya Rp. 70Juta/M2 Nego,89000000000.0,jakarta selatan,setiabudi,5.0,5.0,10.0,1273.0,1000.0,AVAILABLE,loc-109,agent-029
"Turun Harga!! Turun Harga!! Rumah Pondok Indah, Harga NJOP.",6580000000.0,jakarta selatan,kebayoran lama,4.0,3.0,2.0,200.0,139.0,AVAILABLE,loc-104,agent-050
